"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Switzerland","CHE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44956","46306","47889","","49167","51133","51655","52635","53554","54453","55749","","",
"Channel Islands","CHI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53480","56424","55808","","53267","50261","64334","66060","65852","66862","67240","70044","66059","69191","71073","75405","78769.4375","80397.96875","82980","85129.6171875","88050.9296875","91681.515625","90424.453125","91385.7265625","93529.1171875","","",
"China","CHN","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","3487000","3612000","4095000","4398000","4679000","4944000","5203000","5289000","5226000","5226000","5381800","5499400","5580100","5504600","5424600","5369600","5376800","5413600","5433800","5501300","5543800","5581810","5532300","5526500","5551600","5611324","5664057","5735790","5793561","","","5860316","","5778853","","","5967878","6073666","6035510","6018780","5997393","5939088","5907896","5866510","5859672","5889014","5933119","6045682","6201651","6363952","6526772","6683229","6703981","6719340","",
"Cote d'Ivoire","CIV","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","10801","11170","11433","13006","13158","14403","15358","17044","18825","21640","24609","26460","29774","31297","32414","32323","33500","34716","36050","36769","38722","39002","39057","41067","39691","36058","40529","","43386","44731","43205","44424","48227","48308","","","45804","53161","56248","56575","","56455","70016","73691","74703","80155","85109","88910","93257","96255","101085","100263","101670","105502","",
"Cameroon","CMR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","19359","19159","19813","19719","20803","22209","23029","24046","24843","25289","26763","28585","31588","31030","32082","33598","35728","36548","37261","37804","38430","40012","","","40970","","39384","39084","41142","","42873","45089","49042","55266","62280","67081","70230","69544","72344","76655","78903","84467","","93738","105388","104860","97984","93723","96546","100347","105989","114142","","",
"Congo, Dem. Rep.","COD","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","72546","73129","80481","","","","","","","","","","","112077","","","113468","","","","","114967","117267","112041","121054","","","119399","154618","","","158887","","","","","230834","255594","274453","285640","296554","345486","339928","383207","414580","","","544039","","446205","511999","","561172","",
"Congo, Rep.","COG","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","3898","4083","4373","4650","5053","5434","","6675","6832","6852","7186","6997","7329","7803","7549","7745","7818","7429","7858","7639","7578","7789","7415","6891","6309","6836","6850","6688","4515","6923","8420","9342","7818","7058","","11260","10631","12124","10433","14347","15438","16527","","","17759","","","27845","","","","","23019","",
"Colombia","COL","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","86005","90271","103292","110084","115310","121957","125830","128494","131214","139277","136381","137721","131741","133957","135417","132940","135924","138172","139427","140681","141936","143193","162445","166123","179776","189123","193911","","220517","214911","197374","197234","193627","","188147","186898","187920","179286","179806","180806","180760","178550","189335","188462","187042","184791","182919","184384","","184695","176442","173243","180781","","",
"Comoros","COM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","361","396","533","554","","756","","","","","1292","","1617","1607","1997","1901","1808","1777","1764","1900","1995","1894","1771","1737","","1508","","","2381","2536","","2660","2908","2967","","","","3685","","","4201","","4322","4155","","","6429","4428","","","4707","","4322","",
"Cabo Verde","CPV","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","730","973","","1068","1242","1243","1314","1412","1552","1396","1436","","","1445","","1493","1791","1892","1981","2028","1896","","","2657","","","","3219","3228","3190","3214","3121","3145","3169","3190","3210","3170","3132","3072","3009","2972","2956","2955","2965","2988","2995","3016","3043","3093","3110","3070","","","",
"Costa Rica","CRI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","11720","12061","12573","12940","12643","12429","12973","","","13242","12596","10556","10824","10767","10379","11526","11785","12490","12829","13073","13651","14078","14584","14949","15806","16565","17554","18358","19239","21233","22111","22715","24142","","24975","25399","27733","27518","28186","28888","29163","29233","","35986","35967","37349","39717","40627","39638","42720","43093","42732.5703125","43116.5078125","","",
"Caribbean small states","CSS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","27655.763671875","29140.609375","31374.63671875","30861.337890625","31129.732421875","30539.912109375","30464.98046875","31496.537109375","30709.53125","29552.01953125","30239.880859375","30203.099609375","31117.74609375","33122.12890625","32469.806640625","32426.583984375","32546.4765625","32142.08203125","32663.666015625","33429.4375","32969.41796875","32908.3515625","33408.828125","34409.921875","34311.6484375","34204.953125","34319.3125","34408.27734375","35041.29296875","35929.6328125","36338.12109375","36212.21484375","35898.83203125","36529.5234375","37564.0390625","38002.33984375","39040.4765625","40024.73046875","39556.44140625","40260.265625","40175.24609375","39301.765625","39211.53125","39798.00390625","39370.34375","39065.99609375","38821.34375","38734.01953125","37290.23828125","38836.859375","39486.5078125","39147.19921875","39265.04296875","41986.765625","",
"Cuba","CUB","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","56555","57110","60132","67891","74237","77472","80845","86253","86738","86519","84041","83113","83358","83424","79610","77111","75273","73874","73216","71887","70962","74354","76161","76193","74225","90565","92820","91310","91220","90920","93758","","86641","88498","86827","89181","91530","90677","92016","93414","90918","88699","85202","84209","83798","84101","83125","80922","80503","84629","88326","90000","86806","",
"Curacao","CUW","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","88","","","112","","","","","","","","","","","","","","","","","","","209","237","234","240","","251","253","286","335","309","","","330","303","303","","","","","273","306.799987792969","346.899993896484","333.200012207031","351","368","",
"Cyprus","CYP","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","2280","2284","2293","2294","2078","2101","2163","2320","2263","2200","2193","2203","2221","2221","2202","2239","2382","2574","2703","2846","3069","3286","3410","3456","3528","3452","4202","","3517","3608","3701","3349","3319","3506","3455","3627","3697","3850","3921","3985","4045","3940","3977","3967","4513","4597","4640","4786","5063","5117","5196","5296","","",
"Czechia","CZE","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","24881","25498","25809","25913","25593","25032","24878","23206","23795","","21999","23225","24216","24521","24090","23618","22742","21539","23385","23145","23630","24307","27502","27420","26689","28356","","37498","35786","38196","35611","34795","33737","32558","30952","30226","24713","24893","24890","24769","24880","25161","25979","","","","","","","","","","","",
"Germany","DEU","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215414","224299","213489","223235","224517","221634","221318","239206","238345","235993","235179","232937","234107","238428","242969","239761","242329","241845","252845","250704","249602.84375","232750.015625","235570.796875","238361.109375","240170","244874","250559.4375","256762.125","261075.71875","264984.125","","",
"Djibouti","DJI","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","180","228","206","229","251","268","","","358","360","419","460","423","496","511","","617","655","680","711","742","769","714","787","881","1005","1096","960","966","","","","","1410","","1598","1597","1657","1627","","1731","1821","1852","1935","1906","1986","2033","2144","","2310","2437","2569","2739","",
"Dominica","DMA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","504","448","466","","462","","","","","","","","","","","","","","439","414","","","","","","","608","602","617","589","550","519","519","517","499","500","510","508","511","516","529","540","538","560","","","525","520","535","555","552","",
"Denmark","DNK","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","","","","","","","","","","","","","","","34807","34744","34376","32607","31862","31052","","28501","32900","32900","33100","","","36400","37050","37956","39854","","","","","","","","","","","","","43538","","","","46511","46321","44763","43985","43047","","",
"Dominican Republic","DOM","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","13796","14782","15216","15821","16824","17932","","","","","","","23578","","27751","","","","","","","","","","","","","41329","42184","43941","","42929","","50791","53015","54838","56744","66539","52937","51615","51464","54322","54959","61659","71463","69495","66255","64810","65556.1171875","65041.13671875","59968.65234375","61750","78780","",
"Algeria","DZA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","","47178","","","","60179","65043","70498","77009","80853","85499","88481","94216","100288","109173","115242","125034","133250","139875","139917","144945","151262","154685","161802","164982","166771","169010","170956","","169519","170562","169559","170039","167529","170031","171471","171402","170775","169701","141421","141994","144537","149036","155144","159115","164684","169931","176809","182153","222838","200749","200749","206998","212345","",
"East Asia & Pacific (excluding high income)","EAP","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","4832346","4998488","5528628.5","5864111.5","6191731.5","6498324","6806885","6819668","6841891","6907209","7167299","7378287.5","7565042","7636144","7675303.5","7714002.5","7781087","7870843.5","7947219.5","8045646","8127380.5","8149969","8122976","8149081","8194754.5","8286779.5","8384271.5","8485808","8590444","8632338","8609207","8667027","8532079","8785897","9140617","9080134","9108836","9294405","9145687","9267561","9337110","9331119","9353602","9559222","9540725","9714031","9973213","9774171","9853207","10114669","10303574","10480759","10509326","10524066","",
"Early-demographic dividend","EAR","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","3856516.75","3971166","4114120.5","4263539","4382668","4569918","4704404.5","4797830","4854210","5023553.5","5237374.5","5503604.5","5777461.5","6218780.5","6520076","6743128","6997685.5","7106298.5","7341473","7780530","7823461.5","8030891.5","8187794.5","8417760","8611724","8752067","8900102","9077448","9178512","9306184","9427131","9488258","9685948","9993442","10175904","10386210","10628105","10927178","11009916","11275692","11633916","11947457","12231217","12945760","12992760","13255680","13682795","13326005","13020464","13475947","13798795","13822539","13781102","14077225","",
"East Asia & Pacific","EAS","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","5416201.5","5587596","6139294","6485164.5","6823440.5","7146025","7454560.5","7480939","7516451","7596882","7889723.5","8112261.5","8308895","8387567.5","8431508","8456879","8511823","8595741","8671054","8770380","8862848","8888598","8865629","8880412","8943488","9044024","9108577","9194615","9247815","9286448","9275800","9338095","9212757","9474819","9839528","9785284","9821786","10018595","9876538","10007634","10080733","10084580","10109476","10318189","10305325","10479527","10746722","10553458","10643793","10917610","11112920","11295595","11323128","11337580","",
"Europe & Central Asia (excluding high income)","ECA","Primary education, teachers","SE.PRM.TCHR","","","","","","","","","","","559151.375","561943.375","563362.8125","571457","560951.125","556663.6875","561809.8125","567848.4375","569542.9375","575227","590711.875","613807.4375","619381.5625","623731.625","628555.25","635739.5","647000.5","659182.25","673364","677553.875","695838.9375","707071.25","729845.9375","746990.4375","762157.875","756931","771924.4375","761625.5625","777544.5","782316.5625","775221.5625","785355.875","788725.5625","773791.75","788738.8125","794329.0625","794574","804451.625","809851.3125","803872.625","802109.375","824453.625","830520.9375","791999.1875","807442.125","830821.25","835557.1875","832830.5625","854614.375","854434","875598.5625","883323.3125","885116.5","883674.875","",
